feature,importance
0,0.0
00,0.0
000,0.0006554422
01,0.0
02,0.0
03,0.0
04,0.0
05,0.0
06,0.0
07,0.0
08,0.0
09,0.0
1,0.00076862576
10,0.0
100,0.0
1000,0.0
104,0.0
106,0.0
10th,0.0
11,0.0
110,0.0
111,0.0
114,0.0
118,0.0
11th,0.0
12,0.0
120,0.0
125,0.0
126,0.0
129,0.0
12th,0.0
13,0.0
130,0.0
131,0.0
132,0.0
135,0.0
13th,0.0
14,0.0
140,0.0
145,0.0
147,0.0
15,0.0
150,0.0
1500,0.0
15th,0.0
15wu5u,0.0
16,0.0
160,0.0
16esd9,0.0
16th,0.0
17,0.0
170,0.0
172,0.0
175,0.0
18,0.0
180,0.0
186,0.0
19,0.0
195,0.0
1976,0.0
1990,0.0
1990s,0.0
1991,0.0
1992,0.0
1994,0.0
1995,0.0
1996,0.0
1997,0.0
1998,0.0
1999,0.0
1st,0.0
2,0.0
20,0.0
200,0.0
2000,0.0
2001,0.0
2002,0.0
2003,0.0
2004,0.0
2005,0.0
2006,0.0
2007,0.0
2008,0.0
2009,0.0
2010,0.0
2011,0.0
2012,0.0
2013,0.0
2014,0.0
2015,0.0
2020,0.0
21,0.0
210,0.0
21st,0.0
22,0.0
220,0.0
225,0.0
23,0.0
230,0.0
24,0.0
240,0.0
24th,0.0
25,0.0
250,0.0
26,0.0
260,0.0
26th,0.0
27,0.0
270,0.0
27th,0.0
28,0.0
280,0.0
29,0.0
29th,0.0
2nd,0.0
3,0.0
30,0.0
300,0.0
3000,0.0
31,0.0
31st,0.0
32,0.0
320,0.0
33,0.0
34,0.0
34th,0.0
35,0.0
350,0.0
36,0.0
360,0.0
37,0.0
38,0.0
39,0.0
3rd,0.0
4,0.0012692352
40,0.0
400,0.0004437006
4000,0.0
41,0.0
42,0.0
43,0.0
430,0.0
44,0.0
45,0.0
450,0.0
46,0.0
4636,0.0031689762
47,0.0
48,0.0
49,0.0
4th,0.0
5,3.2494515e-06
50,0.0
500,0.0
5000,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
550,0.0
56,0.0
560,0.0
57,0.0
58,0.0
59,0.0
5th,0.0
5yhujg,0.0
6,0.0
60,0.0
600,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
650,0.0
66,0.0
67,0.0
68,0.0
69,0.0
6ogjrx,0.0
7,0.0
70,0.00041981932
700,0.0
72,0.0
73,0.0
74,0.0
75,0.0
750,0.0
76,0.0
77,0.0
78,0.0
79,0.0
790,0.0
7pm,0.0
7th,0.0
8,0.0024723185
80,0.0
800,0.0
8000,0.0
82,0.0
83,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
8th,0.0
9,0.0
90,0.0
900,0.0
91,0.0
92,0.0
93,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
9th,0.0
a7zy8s,0.0
aai,0.0
ab,0.0
ababa,0.0
abad,0.0
abandon,0.0
abandoned,0.0
abdominal,0.0
abducted,0.0
abduction,0.0
abdul,0.0
ability,0.0
able,0.0
abnormal,0.0
abnormally,0.0
aboard,0.0
abroad,0.0
absence,0.0
absolute,0.0
abundant,0.0
abuse,0.0
accelerated,0.0
accept,0.0
accepted,0.0
accepting,0.0
access,0.0
accessible,0.0
accident,0.0
accommodate,0.0
accommodation,0.0
accompanied,0.0
accompany,0.0
accompanying,0.0
accord,0.0
accordance,0.0
according,0.0
account,0.0
accountability,0.0
accountable,0.0
accountant,0.0
accounting,0.0
accumulated,0.0
accumulation,0.0
accused,0.0
aceh,0.0
acehnese,0.0
ache,0.0
achieve,0.0
achieved,0.0
acid,0.0
acquired,0.0
acre,0.0
across,0.0
act,0.0
acted,0.0
acting,0.0
action,0.0
activate,0.0
activated,0.0
active,0.0
actively,0.0
activist,0.0
activity,0.00043943562
actor,0.0
actual,0.0
actually,0.0
acute,0.0
ad,0.0
adapt,0.0
adaptation,0.0
adb,0.0
add,0.0
added,0.0
adding,0.0
addis,0.0
addition,0.0
additional,0.0
additionally,0.0
address,0.0
addressed,0.0
addressing,0.0
addu,0.0
adequate,0.0
adjacent,0.0
adjoining,0.0
administer,0.0
administered,0.0
administration,0.0
administrative,0.0
administrator,0.0
admission,0.0
admitted,0.0
ado,0.0
adolescent,0.0
adopt,0.0
adopted,0.0
adoption,0.0
adra,0.0
adress,0.0
adult,0.0
advance,0.0004410648
advanced,0.0
advancement,0.0
advantage,0.0
adverse,0.0
adversely,0.0
advice,0.0
advise,0.0
advised,0.0
adviser,0.0
advises,0.0
advisor,0.0
advisory,0.0
advocacy,0.0
advocate,0.0
aedes,0.0
aerial,0.0
affair,0.0
affect,0.0
affected,0.021102265
affectees,0.0
affecting,0.0
afflicted,0.0
afford,0.0
affordable,0.0
afghan,0.0
afghanistan,0.0
afp,0.0
afraid,0.0
africa,0.0
african,0.0
aftermath,0.0
afternoon,0.0
aftershock,0.0028124051
age,0.0
aged,0.0
agency,0.0004054004
agenda,0.0
agent,0.0
aggravated,0.0
ago,0.0
agree,0.0
agreed,0.0
agreement,0.0
agricultural,0.0
agriculture,0.002367582
agro,0.0
ahead,0.0
ahmad,0.0
ahmed,0.0
ahmedabad,0.0
aid,0.020206338
aide,0.0
ailment,0.0
aim,0.0
aimed,0.0
air,0.0
airbase,0.0
aircraft,0.0
airdrop,0.0
airfield,0.0
airlift,0.0
airlifted,0.0
airline,0.0
airplane,0.0
airport,0.00042954265
al,0.0
alarm,0.0
alarming,0.0
alert,0.0
alertnet,0.0
algeria,0.0
algiers,0.0
ali,0.0
aligned,0.0
alive,0.0
alix,0.0
allah,0.0
allegation,0.0
alleged,0.0
allegedly,0.0
allergy,0.0
alleviate,0.0
alley,0.0
alliance,0.0
allied,0.0
allocated,0.0
allocation,0.0
allow,0.0
allowed,0.0
allowing,0.001297418
ally,0.0
almost,0.0
alone,0.0
along,0.0
alongside,0.0
alot,0.0
